color, code
0,180;200;0
0,180;200;5
0,180;200;10
0,180;200;15
0,180;200;20
0,180;200;25
0,180;200;30
0,180;200;35
0,180;200;40
0,180;200;45
0,180;200;50
0,180;200;55
0,180;200;60
0,180;205;0
0,180;205;5
0,180;205;10
0,180;205;15
0,180;205;20
0,180;205;25
0,180;205;30
0,180;205;35
0,180;205;40
0,180;205;45
0,180;205;50
0,180;205;55
0,180;205;60
0,180;210;0
0,180;210;5
0,180;210;10
0,180;210;15
0,180;210;20
0,180;210;25
0,180;210;30
0,180;210;35
0,180;210;40
0,180;210;45
0,180;210;50
0,180;210;55
0,180;210;60
0,180;215;0
0,180;215;5
0,180;215;10
0,180;215;15
0,180;215;20
0,180;215;25
0,180;215;30
0,180;215;35
0,180;215;40
0,180;215;45
0,180;215;50
0,180;215;55
0,180;215;60
0,180;220;0
0,180;220;5
0,180;220;10
0,180;220;15
0,180;220;20
0,180;220;25
0,180;220;30
0,180;220;35
0,180;220;40
0,180;220;45
0,180;220;50
0,180;220;55
0,180;220;60
0,180;225;0
0,180;225;5
0,180;225;10
0,180;225;15
0,180;225;20
0,180;225;25
0,180;225;30
0,180;225;35
0,180;225;40
0,180;225;45
0,180;225;50
0,180;225;55
0,180;225;60
0,185;200;0
0,185;200;5
0,185;200;10
0,185;200;15
0,185;200;20
0,185;200;25
0,185;200;30
0,185;200;35
0,185;200;40
0,185;200;45
0,185;200;50
0,185;200;55
0,185;200;60
0,185;205;0
0,185;205;5
0,185;205;10
0,185;205;15
0,185;205;20
0,185;205;25
0,185;205;30
0,185;205;35
0,185;205;40
0,185;205;45
0,185;205;50
0,185;205;55
0,185;205;60
0,185;210;0
0,185;210;5
0,185;210;10
0,185;210;15
0,185;210;20
0,185;210;25
0,185;210;30
0,185;210;35
0,185;210;40
0,185;210;45
0,185;210;50
0,185;210;55
0,185;210;60
0,185;215;0
0,185;215;5
0,185;215;10
0,185;215;15
0,185;215;20
0,185;215;25
0,185;215;30
0,185;215;35
0,185;215;40
0,185;215;45
0,185;215;50
0,185;215;55
0,185;215;60
0,185;220;0
0,185;220;5
0,185;220;10
0,185;220;15
0,185;220;20
0,185;220;25
0,185;220;30
0,185;220;35
0,185;220;40
0,185;220;45
0,185;220;50
0,185;220;55
0,185;220;60
0,185;225;0
0,185;225;5
0,185;225;10
0,185;225;15
0,185;225;20
0,185;225;25
0,185;225;30
0,185;225;35
0,185;225;40
0,185;225;45
0,185;225;50
0,185;225;55
0,185;225;60
0,190;200;0
0,190;200;5
0,190;200;10
0,190;200;15
0,190;200;20
0,190;200;25
0,190;200;30
0,190;200;35
0,190;200;40
0,190;200;45
0,190;200;50
0,190;200;55
0,190;200;60
0,190;205;0
0,190;205;5
0,190;205;10
0,190;205;15
0,190;205;20
0,190;205;25
0,190;205;30
0,190;205;35
0,190;205;40
0,190;205;45
0,190;205;50
0,190;205;55
0,190;205;60
0,190;210;0
0,190;210;5
0,190;210;10
0,190;210;15
0,190;210;20
0,190;210;25
0,190;210;30
0,190;210;35
0,190;210;40
0,190;210;45
0,190;210;50
0,190;210;55
0,190;210;60
0,190;215;0
0,190;215;5
0,190;215;10
0,190;215;15
0,190;215;20
0,190;215;25
0,190;215;30
0,190;215;35
0,190;215;40
0,190;215;45
0,190;215;50
0,190;215;55
0,190;215;60
0,190;220;0
0,190;220;5
0,190;220;10
0,190;220;15
0,190;220;20
0,190;220;25
0,190;220;30
0,190;220;35
0,190;220;40
0,190;220;45
0,190;220;50
0,190;220;55
0,190;220;60
0,190;225;0
0,190;225;5
0,190;225;10
0,190;225;15
0,190;225;20
0,190;225;25
0,190;225;30
0,190;225;35
0,190;225;40
0,190;225;45
0,190;225;50
0,190;225;55
0,190;225;60
0,195;200;0
0,195;200;5
0,195;200;10
0,195;200;15
0,195;200;20
0,195;200;25
0,195;200;30
0,195;200;35
0,195;200;40
0,195;200;45
0,195;200;50
0,195;200;55
0,195;200;60
0,195;205;0
0,195;205;5
0,195;205;10
0,195;205;15
0,195;205;20
0,195;205;25
0,195;205;30
0,195;205;35
0,195;205;40
0,195;205;45
0,195;205;50
0,195;205;55
0,195;205;60
0,195;210;0
0,195;210;5
0,195;210;10
0,195;210;15
0,195;210;20
0,195;210;25
0,195;210;30
0,195;210;35
0,195;210;40
0,195;210;45
0,195;210;50
0,195;210;55
0,195;210;60
0,195;215;0
0,195;215;5
0,195;215;10
0,195;215;15
0,195;215;20
0,195;215;25
0,195;215;30
0,195;215;35
0,195;215;40
0,195;215;45
0,195;215;50
0,195;215;55
0,195;215;60
0,195;220;0
0,195;220;5
0,195;220;10
0,195;220;15
0,195;220;20
0,195;220;25
0,195;220;30
0,195;220;35
0,195;220;40
0,195;220;45
0,195;220;50
0,195;220;55
0,195;220;60
0,195;225;0
0,195;225;5
0,195;225;10
0,195;225;15
0,195;225;20
0,195;225;25
0,195;225;30
0,195;225;35
0,195;225;40
0,195;225;45
0,195;225;50
0,195;225;55
0,195;225;60
0,200;200;0
0,200;200;5
0,200;200;10
0,200;200;15
0,200;200;20
0,200;200;25
0,200;200;30
0,200;200;35
0,200;200;40
0,200;200;45
0,200;200;50
0,200;200;55
0,200;200;60
0,200;205;0
0,200;205;5
0,200;205;10
0,200;205;15
0,200;205;20
0,200;205;25
0,200;205;30
0,200;205;35
0,200;205;40
0,200;205;45
0,200;205;50
0,200;205;55
0,200;205;60
0,200;210;0
0,200;210;5
0,200;210;10
0,200;210;15
0,200;210;20
0,200;210;25
0,200;210;30
0,200;210;35
0,200;210;40
0,200;210;45
0,200;210;50
0,200;210;55
0,200;210;60
0,200;215;0
0,200;215;5
0,200;215;10
0,200;215;15
0,200;215;20
0,200;215;25
0,200;215;30
0,200;215;35
0,200;215;40
0,200;215;45
0,200;215;50
0,200;215;55
0,200;215;60
0,200;220;0
0,200;220;5
0,200;220;10
0,200;220;15
0,200;220;20
0,200;220;25
0,200;220;30
0,200;220;35
0,200;220;40
0,200;220;45
0,200;220;50
0,200;220;55
0,200;220;60
0,200;225;0
0,200;225;5
0,200;225;10
0,200;225;15
0,200;225;20
0,200;225;25
0,200;225;30
0,200;225;35
0,200;225;40
0,200;225;45
0,200;225;50
0,200;225;55
0,200;225;60
0,205;200;0
0,205;200;5
0,205;200;10
0,205;200;15
0,205;200;20
0,205;200;25
0,205;200;30
0,205;200;35
0,205;200;40
0,205;200;45
0,205;200;50
0,205;200;55
0,205;200;60
0,205;205;0
0,205;205;5
0,205;205;10
0,205;205;15
0,205;205;20
0,205;205;25
0,205;205;30
0,205;205;35
0,205;205;40
0,205;205;45
0,205;205;50
0,205;205;55
0,205;205;60
0,205;210;0
0,205;210;5
0,205;210;10
0,205;210;15
0,205;210;20
0,205;210;25
0,205;210;30
0,205;210;35
0,205;210;40
0,205;210;45
0,205;210;50
0,205;210;55
0,205;210;60
0,205;215;0
0,205;215;5
0,205;215;10
0,205;215;15
0,205;215;20
0,205;215;25
0,205;215;30
0,205;215;35
0,205;215;40
0,205;215;45
0,205;215;50
0,205;215;55
0,205;215;60
0,205;220;0
0,205;220;5
0,205;220;10
0,205;220;15
0,205;220;20
0,205;220;25
0,205;220;30
0,205;220;35
0,205;220;40
0,205;220;45
0,205;220;50
0,205;220;55
0,205;220;60
0,205;225;0
0,205;225;5
0,205;225;10
0,205;225;15
0,205;225;20
0,205;225;25
0,205;225;30
0,205;225;35
0,205;225;40
0,205;225;45
0,205;225;50
0,205;225;55
0,205;225;60
0,210;200;0
0,210;200;5
0,210;200;10
0,210;200;15
0,210;200;20
0,210;200;25
0,210;200;30
0,210;200;35
0,210;200;40
0,210;200;45
0,210;200;50
0,210;200;55
0,210;200;60
0,210;205;0
0,210;205;5
0,210;205;10
0,210;205;15
0,210;205;20
0,210;205;25
0,210;205;30
0,210;205;35
0,210;205;40
0,210;205;45
0,210;205;50
0,210;205;55
0,210;205;60
0,210;210;0
0,210;210;5
0,210;210;10
0,210;210;15
0,210;210;20
0,210;210;25
0,210;210;30
0,210;210;35
0,210;210;40
0,210;210;45
0,210;210;50
0,210;210;55
0,210;210;60
0,210;215;0
0,210;215;5
0,210;215;10
0,210;215;15
0,210;215;20
0,210;215;25
0,210;215;30
0,210;215;35
0,210;215;40
0,210;215;45
0,210;215;50
0,210;215;55
0,210;215;60
0,210;220;0
0,210;220;5
0,210;220;10
0,210;220;15
0,210;220;20
0,210;220;25
0,210;220;30
0,210;220;35
0,210;220;40
0,210;220;45
0,210;220;50
0,210;220;55
0,210;220;60
0,210;225;0
0,210;225;5
0,210;225;10
0,210;225;15
0,210;225;20
0,210;225;25
0,210;225;30
0,210;225;35
0,210;225;40
0,210;225;45
0,210;225;50
0,210;225;55
0,210;225;60
0,215;200;0
0,215;200;5
0,215;200;10
0,215;200;15
0,215;200;20
0,215;200;25
0,215;200;30
0,215;200;35
0,215;200;40
0,215;200;45
0,215;200;50
0,215;200;55
0,215;200;60
0,215;205;0
0,215;205;5
0,215;205;10
0,215;205;15
0,215;205;20
0,215;205;25
0,215;205;30
0,215;205;35
0,215;205;40
0,215;205;45
0,215;205;50
0,215;205;55
0,215;205;60
0,215;210;0
0,215;210;5
0,215;210;10
0,215;210;15
0,215;210;20
0,215;210;25
0,215;210;30
0,215;210;35
0,215;210;40
0,215;210;45
0,215;210;50
0,215;210;55
0,215;210;60
0,215;215;0
0,215;215;5
0,215;215;10
0,215;215;15
0,215;215;20
0,215;215;25
0,215;215;30
0,215;215;35
0,215;215;40
0,215;215;45
0,215;215;50
0,215;215;55
0,215;215;60
0,215;220;0
0,215;220;5
0,215;220;10
0,215;220;15
0,215;220;20
0,215;220;25
0,215;220;30
0,215;220;35
0,215;220;40
0,215;220;45
0,215;220;50
0,215;220;55
0,215;220;60
0,215;225;0
0,215;225;5
0,215;225;10
0,215;225;15
0,215;225;20
0,215;225;25
0,215;225;30
0,215;225;35
0,215;225;40
0,215;225;45
0,215;225;50
0,215;225;55
0,215;225;60
0,220;200;0
0,220;200;5
0,220;200;10
0,220;200;15
0,220;200;20
0,220;200;25
0,220;200;30
0,220;200;35
0,220;200;40
0,220;200;45
0,220;200;50
0,220;200;55
0,220;200;60
0,220;205;0
0,220;205;5
0,220;205;10
0,220;205;15
0,220;205;20
0,220;205;25
0,220;205;30
0,220;205;35
0,220;205;40
0,220;205;45
0,220;205;50
0,220;205;55
0,220;205;60
0,220;210;0
0,220;210;5
0,220;210;10
0,220;210;15
0,220;210;20
0,220;210;25
0,220;210;30
0,220;210;35
0,220;210;40
0,220;210;45
0,220;210;50
0,220;210;55
0,220;210;60
0,220;215;0
0,220;215;5
0,220;215;10
0,220;215;15
0,220;215;20
0,220;215;25
0,220;215;30
0,220;215;35
0,220;215;40
0,220;215;45
0,220;215;50
0,220;215;55
0,220;215;60
0,220;220;0
0,220;220;5
0,220;220;10
0,220;220;15
0,220;220;20
0,220;220;25
0,220;220;30
0,220;220;35
0,220;220;40
0,220;220;45
0,220;220;50
0,220;220;55
0,220;220;60
0,220;225;0
0,220;225;5
0,220;225;10
0,220;225;15
0,220;225;20
0,220;225;25
0,220;225;30
0,220;225;35
0,220;225;40
0,220;225;45
0,220;225;50
0,220;225;55
0,220;225;60
0,225;200;0
0,225;200;5
0,225;200;10
0,225;200;15
0,225;200;20
0,225;200;25
0,225;200;30
0,225;200;35
0,225;200;40
0,225;200;45
0,225;200;50
0,225;200;55
0,225;200;60
0,225;205;0
0,225;205;5
0,225;205;10
0,225;205;15
0,225;205;20
0,225;205;25
0,225;205;30
0,225;205;35
0,225;205;40
0,225;205;45
0,225;205;50
0,225;205;55
0,225;205;60
0,225;210;0
0,225;210;5
0,225;210;10
0,225;210;15
0,225;210;20
0,225;210;25
0,225;210;30
0,225;210;35
0,225;210;40
0,225;210;45
0,225;210;50
0,225;210;55
0,225;210;60
0,225;215;0
0,225;215;5
0,225;215;10
0,225;215;15
0,225;215;20
0,225;215;25
0,225;215;30
0,225;215;35
0,225;215;40
0,225;215;45
0,225;215;50
0,225;215;55
0,225;215;60
0,225;220;0
0,225;220;5
0,225;220;10
0,225;220;15
0,225;220;20
0,225;220;25
0,225;220;30
